"TOA5","DE_M2_Wired","CR300","10970","CR300-CELL210.Std.07.05","CPU:CR300_DEM2_CELL.CR300","18716","DEM2_Average"
"TIMESTAMP","RECORD","BattV_Min","AirTemp_Avg","AirTemp_Max","AirTemp_Min","RH_Max","RH_Min","SoilT_Avg","SoilT_Max","SoilT_Min","WindSpd_Avg","WindSpd_Max","WindSpd_Std","SlrW_Avg","SlrW_Max","SlrW_Min","DewPtC_Avg","DewPtC_Max","DewPtC_Min"
"TS","RN","Volts","Deg C","Deg C","Deg C","%","%","Deg C","Deg C","Deg C","meters/second","meters/second","meters/second","W/m^2","W/m^2","W/m^2","Deg C","Deg C","Deg C"
"","","Min","Avg","Max","Min","Max","Min","Avg","Max","Min","Avg","Max","Std","Avg","Max","Min","Avg","Max","Min"
"2021-01-30 11:50:00",5432,5.079,4.436,4.552,4.189,48.05,41.89,5.144,5.16,5.13,0.952,2.15,0.659,184.8,252.3,127.3,-6.713,-5.74,-7.43
"2021-01-30 12:00:00",5433,5.053,4.283,4.562,3.987,45.21,39.47,5.169,5.193,5.142,0.608,2.45,0.643,116.3,129.4,106.7,-7.42,-6.35,-8.22
"2021-01-30 12:20:00",5434,5.045,4.753,4.937,4.552,48.93,41.73,5.253,5.262,5.245,1.284,2.45,0.769,187,223.7,127.8,-6.572,-5.063,-7.209
"2021-01-30 12:40:00",0,5.04,4.884,5.057,4.775,45.7,40.91,5.321,5.334,5.306,0.904,2.3,0.78,142.8,274,112.1,-6.722,-5.694,-7.376
"2021-01-30 14:30:00",1,12.57,6.024,6.057,5.966,46.03,41.79,5.62,5.629,5.606,0.884,1.7,0.575,60.8,62.33,59.85,-5.33,-4.708,-6.02
"2021-01-30 14:40:00",2,12.53,6.015,6.067,5.976,46.85,40.12,5.63,5.646,5.614,0.863,1.7,0.455,67.76,72.86,62.44,-5.536,-4.485,-6.506
"2021-01-30 14:50:00",3,12.55,6.168,6.35,5.986,46.01,40.27,5.649,5.667,5.635,0.078,1.55,0.274,50.25,63.04,45.95,-5.407,-4.476,-6.504
"2021-01-30 15:00:00",4,12.56,6.202,6.32,6.108,46.46,41.1,5.674,5.696,5.655,0.635,1.85,0.574,39.71,46.63,37.17,-5.264,-4.404,-6.074
"2021-01-30 15:10:00",5,12.56,6.248,6.31,6.168,47.52,41.39,5.7,5.717,5.68,0.599,2.15,0.607,40.48,41.2,39.16,-5.071,-4.064,-5.871
"2021-01-30 15:20:00",6,12.56,6.414,6.542,6.29,45.9,41.42,5.72,5.735,5.704,0.106,1.25,0.267,42.79,51.96,37.84,-5.23,-4.348,-5.717
"2021-01-30 15:30:00",7,12.56,6.613,6.733,6.521,47.31,41.08,5.74,5.761,5.72,0.173,2.3,0.478,47.49,52.42,44.42,-5.022,-3.734,-5.751
"2021-01-30 15:40:00",8,12.57,6.697,6.733,6.652,46.49,41.62,5.763,5.783,5.74,0.189,1.25,0.372,36.66,44.33,31.03,-4.839,-3.949,-5.441
"2021-01-30 15:50:00",9,12.56,6.66,6.694,6.633,46.81,41.03,5.786,5.805,5.77,0.036,0.8,0.139,31.79,32.46,31.06,-4.889,-3.901,-5.676
"2021-01-30 16:00:00",10,12.56,6.695,6.733,6.662,47.15,42,5.808,5.83,5.789,0.088,0.95,0.232,27.98,32.16,20.83,-4.57,-3.787,-5.295
"2021-01-30 16:10:00",11,12.56,6.584,6.673,6.491,46.44,41.93,5.825,5.839,5.812,0.28,1.55,0.428,15.84,20.64,14.37,-4.978,-4.054,-5.419
"2021-01-30 16:20:00",12,12.55,6.462,6.512,6.43,49.16,43.17,5.839,5.852,5.827,0.033,1.1,0.158,16.33,18.75,13.98,-4.388,-3.417,-5.152
"2021-01-30 16:30:00",13,12.54,6.447,6.471,6.43,47.67,43.57,5.85,5.862,5.836,0.006,0.35,0.045,13.27,14.11,10.15,-4.518,-3.845,-5.068
"2021-01-30 16:40:00",14,12.52,6.384,6.442,6.329,50.86,44.43,5.86,5.875,5.848,0,0,0,8.4,10.06,7.16,-3.988,-3.092,-4.829
"2021-01-30 16:50:00",15,12.53,6.298,6.35,6.269,49.8,44.51,5.869,5.882,5.856,0.038,0.95,0.169,5.481,7.157,3.599,-4.424,-3.363,-4.887
"2021-01-30 17:00:00",16,12.55,6.231,6.28,6.168,53.98,44.75,5.876,5.891,5.866,0.022,0.8,0.12,2.138,3.583,0.977,-4.236,-2.376,-4.882
"2021-01-30 17:10:00",17,12.55,6.06,6.178,5.976,55.93,45.48,5.883,5.891,5.869,0.022,1.1,0.13,0.803,1.091,0.464,-3.604,-2.034,-4.898
"2021-01-30 17:20:00",18,12.55,5.922,5.986,5.824,58.42,47.06,5.887,5.9,5.874,0.011,0.5,0.071,0.274,0.584,-0.227,-3.402,-1.643,-4.492
"2021-01-30 17:30:00",19,12.55,5.717,5.824,5.624,56.28,49.65,5.89,5.905,5.877,0,0,0,-0.002,0.141,-0.144,-2.944,-2.274,-4.059
"2021-01-30 17:40:00",20,12.55,5.684,5.744,5.624,52.79,47.81,5.893,5.905,5.881,0.058,0.95,0.182,-0.043,0.178,-0.252,-4.113,-3.249,-4.553
"2021-01-30 17:50:00",21,12.55,5.667,5.724,5.542,60.47,47.35,5.895,5.906,5.884,0.218,2,0.458,-0.346,-0.12,-0.876,-3.685,-1.383,-4.706
"2021-01-30 18:00:00",22,12.55,5.173,5.542,4.795,67.64,54.52,5.895,5.909,5.881,0.637,2.9,0.687,-1.504,-0.492,-2.922,-1.748,-0.65,-2.912
"2021-01-30 18:10:00",23,12.54,4.511,4.805,4.29,72.93,66.2,5.885,5.901,5.867,0.177,1.85,0.433,-2.267,-1.524,-2.944,-0.526,0.103,-0.983
"2021-01-30 18:20:00",24,12.53,4.115,4.28,3.927,77.03,69.4,5.87,5.884,5.858,0.011,0.65,0.083,-1.891,-1.02,-2.941,-0.207,0.369,-0.834
"2021-01-30 18:30:00",25,12.56,3.776,3.927,3.644,80.5,75.3,5.855,5.87,5.837,0.141,1.4,0.335,-1.398,-0.433,-6.327,0.043,0.607,-0.179
"2021-01-30 18:40:00",26,12.54,3.49,3.674,3.34,84.2,77.19,5.843,5.854,5.825,0,0,0,-3.781,-0.787,-8,0.278,0.931,-0.053
"2021-01-30 18:50:00",27,12.53,3.096,3.331,2.966,89.6,83.3,5.829,5.844,5.813,0,0,0,-7.465,-6.776,-8.49,1.138,1.435,0.691
"2021-01-30 19:00:00",28,12.55,2.873,2.976,2.764,90.8,85.8,5.814,5.828,5.793,0.029,0.65,0.122,-7.695,-7.025,-8.9,1.109,1.494,0.752
"2021-01-30 19:10:00",29,12.53,2.657,2.774,2.552,89.6,87.1,5.801,5.818,5.788,0.003,0.35,0.032,-8.31,-7.36,-9.25,0.964,1.112,0.737
"2021-01-30 19:20:00",30,12.54,2.511,2.552,2.471,91.3,89.1,5.787,5.802,5.772,0.134,1.25,0.326,-7.71,-6.878,-9.15,1.022,1.192,0.911
"2021-01-30 19:30:00",31,12.53,2.449,2.492,2.43,91.3,89.3,5.775,5.789,5.76,0.018,0.8,0.11,-5.986,-2.16,-9.1,1.049,1.214,0.868
"2021-01-30 19:40:00",32,12.53,2.441,2.45,2.42,92,89.6,5.765,5.78,5.75,0,0,0,-7.283,-6.493,-8.3,1.078,1.285,0.905
"2021-01-30 19:50:00",33,12.54,2.426,2.45,2.411,92,90.3,5.76,5.771,5.748,0,0,0,-5.241,-1.54,-7.744,1.078,1.285,0.99
"2021-01-30 20:00:00",34,12.53,2.353,2.43,2.288,92.3,90.6,5.754,5.765,5.744,0,0,0,-7.409,-6.718,-7.849,1.154,1.229,1.042
"2021-01-30 20:10:00",35,12.53,2.323,2.35,2.3,92.9,91.8,5.75,5.766,5.739,0,0,0,-7.337,-6.481,-8.41,1.223,1.308,1.116
"2021-01-30 20:20:00",36,12.52,2.324,2.35,2.309,93,91.2,5.744,5.755,5.733,0,0,0,-6.365,-1.948,-8.95,1.187,1.323,1.022
"2021-01-30 20:30:00",37,12.53,2.319,2.34,2.3,93.2,91.6,5.738,5.75,5.724,0,0,0,-6.939,-1.927,-7.818,1.223,1.347,1.079
"2021-01-30 20:40:00",38,12.53,2.315,2.33,2.3,93.1,91.9,5.733,5.744,5.72,0,0,0,-7.351,-6.681,-8.12,1.205,1.326,1.132
"2021-01-30 20:50:00",39,12.52,2.333,2.36,2.309,93.9,92.3,5.728,5.744,5.718,0,0,0,-7.662,-6.801,-8.45,1.332,1.48,1.184
"2021-01-30 21:00:00",40,12.48,2.322,2.35,2.268,94,92.4,5.722,5.736,5.708,0,0,0,-6.97,-6.493,-7.621,1.34,1.492,1.185
"2021-01-30 21:10:00",41,12.49,2.255,2.278,2.218,93.8,92.7,5.716,5.727,5.698,0,0,0,-7.032,-6.678,-7.557,1.281,1.358,1.211
"2021-01-30 21:20:00",42,12.52,2.212,2.239,2.178,95.1,93.5,5.708,5.725,5.694,0,0,0,-7.76,-6.93,-8.8,1.411,1.507,1.262
"2021-01-30 21:30:00",43,12.52,2.131,2.188,2.046,95.3,94.7,5.7,5.718,5.684,0,0,0,-7.2,-6.939,-7.683,1.418,1.473,1.307
"2021-01-30 21:40:00",44,12.52,2.006,2.067,1.966,95.7,94.7,5.691,5.704,5.676,0,0,0,-7.387,-6.893,-8.57,1.319,1.367,1.284
"2021-01-30 21:50:00",45,12.52,1.942,1.986,1.864,96.2,95.6,5.681,5.693,5.668,0,0,0,-7.091,-6.77,-7.72,1.354,1.409,1.251
"2021-01-30 22:00:00",46,12.53,1.865,1.896,1.834,96.4,95.7,5.671,5.683,5.657,0,0,0,-7.096,-6.681,-7.683,1.31,1.359,1.262
"2021-01-30 22:10:00",47,12.52,1.82,1.844,1.783,96.8,96.2,5.662,5.675,5.647,0,0,0,-7.146,-6.776,-7.849,1.323,1.395,1.262
