TOA5,DU_M1_Wired,CR800,43803,CR800.Std.32.02,CPU:CR800_DUM1_CELL.CR8,10532,DUM1_Average,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,BattV_Min,Temp_C_Avg(1),Temp_C_Max(1),Temp_C_Min(1),Temp_C_Avg(2),Temp_C_Max(2),Temp_C_Min(2),AirTC_Avg,AirTC_Max,AirTC_Min,RH_Max,RH_Min,WindSpd_Avg,WindSpd_Max,WindSpd_Std,SlrW_Avg,SlrW_Max,SlrW_Min,DewPtC_Avg,DewPtC_Max,DewPtC_Min,ST05_Avg,ST05_Max,ST05_Min
TS,RN,Volts,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,%,%,meters/second,meters/second,meters/second,W/m^2,W/m^2,W/m^2,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C
,,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Max,Min,Avg,Max,Std,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min
1/30/2021 9:00,8306,13.64,NAN,NAN,NAN,NAN,NAN,NAN,0.637,0.852,0.479,61.09,55.41,1.547,2.45,0.439,232.1,351.6,184.6,-6.601,-6.123,-7.108,3.416,3.433,3.39
1/30/2021 9:50,0,13.6,NAN,NAN,NAN,NAN,NAN,NAN,3.79,3.825,3.744,43.68,40.8,1.114,2.15,0.601,406.8,447.2,353.5,-7.971,-7.446,-8.3,3.67,3.68,3.659
1/30/2021 10:50,1,13.6,NAN,NAN,NAN,NAN,NAN,NAN,3.746,3.794,3.623,43.43,40.44,1.774,2.75,0.635,369.1,393.9,341.5,-8.1,-7.546,-8.59,3.702,3.702,3.702
1/30/2021 11:00,2,13.55,NAN,NAN,NAN,NAN,NAN,NAN,3.576,3.866,3.27,45.42,39.12,1.45,2.75,0.767,482.3,613,326.1,-8.25,-7.123,-8.92,3.738,3.789,3.702
1/30/2021 11:10,3,13.5,NAN,NAN,NAN,NAN,NAN,NAN,4.219,4.472,3.684,45.26,38.06,1.683,3.5,0.771,529,601.7,464.1,-7.978,-6.966,-8.73,3.817,3.854,3.778
1/30/2021 11:20,4,13.48,NAN,NAN,NAN,NAN,NAN,NAN,4.475,4.674,4.32,42.23,36.96,1.231,3.05,0.815,424.1,560.5,312.7,-8.08,-7.163,-8.94,3.9,3.94,3.854
1/30/2021 11:30,5,13.48,NAN,NAN,NAN,NAN,NAN,NAN,3.888,4.33,3.623,42.1,37.93,1.502,2.9,0.518,306.1,357.8,279.6,-8.56,-8.07,-8.94,3.986,4.023,3.94
1/30/2021 11:40,6,13.48,NAN,NAN,NAN,NAN,NAN,NAN,4.092,4.734,3.632,43.02,38.82,1.23,2.6,0.712,436.8,546.7,327.9,-8.11,-7.098,-8.64,4.074,4.121,4.023
1/30/2021 11:50,7,13.48,NAN,NAN,NAN,NAN,NAN,NAN,4.421,4.846,4.17,41.31,36.46,1.988,3.95,0.727,387.1,555,354.7,-8.39,-7.466,-9.07,4.165,4.22,4.11
1/30/2021 12:00,8,13.48,NAN,NAN,NAN,NAN,NAN,NAN,4.385,4.654,4.189,41.69,37.07,1.575,3.65,0.688,372.5,449.1,348,-8.36,-7.353,-9.04,4.256,4.308,4.22
1/30/2021 12:10,9,13.46,NAN,NAN,NAN,NAN,NAN,NAN,4.782,5.744,4.402,41.75,35.04,1.288,3.05,0.833,595.3,857,373,-8.22,-6.44,-9.17,4.344,4.397,4.308
1/30/2021 12:20,10,13.45,NAN,NAN,NAN,NAN,NAN,NAN,5.563,5.814,5.29,41.19,34.8,1.684,3.95,1.062,541.2,824,376.7,-7.851,-6.607,-8.79,4.435,4.484,4.397
1/30/2021 12:30,11,13.43,NAN,NAN,NAN,NAN,NAN,NAN,5.477,5.795,5.238,41.53,33.81,1.548,4.1,0.967,486.3,779.9,350.4,-8.28,-6.62,-8.94,4.528,4.577,4.483
1/30/2021 12:40,12,13.39,NAN,NAN,NAN,NAN,NAN,NAN,5.365,5.734,4.916,40.3,34.97,1.715,3.5,0.772,358.1,476.4,276,-8.13,-6.972,-8.94,4.628,4.672,4.577
1/30/2021 12:50,13,13.42,NAN,NAN,NAN,NAN,NAN,NAN,5.336,6.329,4.805,41.42,35.57,0.662,3.2,0.853,371.6,682.6,271.8,-7.716,-6.532,-8.72,4.728,4.78,4.672
1/30/2021 13:00,14,13.41,NAN,NAN,NAN,NAN,NAN,NAN,6.913,7.138,6.329,40.22,32.82,1.193,3.5,0.835,617.5,736.6,374.4,-7.456,-6.044,-8.31,4.829,4.88,4.78
1/30/2021 13:10,15,13.39,NAN,NAN,NAN,NAN,NAN,NAN,6.823,7.097,6.512,38.32,32.76,1.114,3.05,0.673,474,664.5,326.3,-7.424,-6.371,-8.43,4.925,4.974,4.88
1/30/2021 13:20,16,13.39,NAN,NAN,NAN,NAN,NAN,NAN,6.159,6.774,5.824,38.1,33.21,0.83,3.2,0.785,357.9,536.1,255.4,-7.922,-7.005,-8.84,5.022,5.082,4.974
1/30/2021 13:30,17,13.38,NAN,NAN,NAN,NAN,NAN,NAN,6.64,6.854,6.31,39.38,33.46,1.13,2.45,0.634,489.7,664,325.1,-7.595,-6.215,-8.39,5.125,5.169,5.081
1/30/2021 13:40,18,13.37,NAN,NAN,NAN,NAN,NAN,NAN,7.311,7.955,6.209,37.9,31.65,1.149,3.05,0.81,368.7,656.9,196.1,-7.309,-6.1,-8.11,5.221,5.278,5.169
1/30/2021 13:50,19,13.36,NAN,NAN,NAN,NAN,NAN,NAN,6.422,6.673,6.067,40.23,34.75,0.955,2.3,0.51,305,560.8,248.7,-7.294,-6.097,-8.07,5.315,5.365,5.267
