TOA5,DU_M1_Wired,CR800,43803,CR800.Std.32.02,CPU:CR800_DUM1_CELL.CR8,10532,DUM1_Sample,,,,,
TIMESTAMP,RECORD,BattV,Temp_C(1),Temp_C(2),AirTC,RH,WindSpd,WindDir,Rain_in_Tot,SlrW,SlrMJ_Tot,ST05
TS,RN,Volts,Deg C,Deg C,Deg C,%,meters/second,degrees,inch,W/m^2,MJ/m^2,Deg C
,,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Tot,Smp,Tot,Smp
1/11/2021 12:00,5589,12.73,NAN,NAN,5.038,73,0.8,19.51,0,57.41,0.03856107,5.032
1/11/2021 12:10,5590,12.77,NAN,NAN,4.361,84.1,0.8,249.4,0,59.68,0.03017633,5.064
1/11/2021 12:20,5591,12.83,NAN,NAN,4.432,88.3,0,81.9,0,91.8,0.04472301,5.086
1/11/2021 12:30,5592,13.04,NAN,NAN,4.835,87.2,0,140.9,0,176.7,0.07615179,5.108
1/11/2021 12:40,5593,13.77,NAN,NAN,5.502,86.3,0.95,110.8,0,180.7,0.1033427,5.13
1/11/2021 12:50,5594,13.76,NAN,NAN,5.764,84.7,0,113.2,0,115.2,0.1043951,5.152
1/11/2021 13:00,5595,13.72,NAN,NAN,5.704,84.5,0.95,100.7,0,218.7,0.0971763,5.196
1/11/2021 13:10,5596,13.73,NAN,NAN,6.259,74.18,0,187.8,0,173.7,0.1326646,5.239
1/11/2021 13:20,5597,13.72,NAN,NAN,6.35,77.52,0,153.3,0,115.8,0.09196395,5.283
1/11/2021 13:30,5598,13.68,NAN,NAN,6.34,79.14,1.4,197.9,0,152.4,0.08280516,5.327
1/11/2021 13:40,5599,13.71,NAN,NAN,6.228,75.46,0,187.4,0,183.7,0.08935565,5.367
1/11/2021 13:50,5600,13.69,NAN,NAN,6.552,76.81,1.1,135.7,0,120.6,0.08986846,5.431
1/11/2021 14:00,5601,13.67,NAN,NAN,6.199,77.82,1.4,116.6,0,57.05,0.05339349,5.474
1/11/2021 14:10,5602,13.72,NAN,NAN,5.824,79.51,0,96.3,0,66.25,0.03593523,5.517
1/11/2021 14:20,5603,13.72,NAN,NAN,5.876,79.95,0.35,150.5,0,110.8,0.05048859,5.564
1/11/2021 14:30,5604,13.69,NAN,NAN,6.088,74.59,2,127.4,0,146.9,0.06637493,5.61
1/11/2021 14:40,5605,13.72,NAN,NAN,6.057,77.63,0.5,93.3,0,69.02,0.05419611,5.633
1/11/2021 14:50,5606,13.73,NAN,NAN,5.937,77.79,0.95,81.2,0,100.3,0.05500881,5.655
1/11/2021 15:00,5607,13.69,NAN,NAN,6.178,77.03,0.8,142,0,85.7,0.0557076,5.677
1/11/2021 15:10,5608,13.74,NAN,NAN,6.007,78.91,1.25,105.1,0,71.44,0.0447635,5.699
1/11/2021 15:20,5609,13.75,NAN,NAN,5.966,79.16,1.1,74.63,0,64.83,0.04259924,5.721
1/11/2021 15:30,5610,13.67,NAN,NAN,6.007,79.55,0,86.9,0,47.24,0.03819085,5.743
1/11/2021 15:40,5611,13.11,NAN,NAN,5.845,79.4,1.1,77.39,0,43.27,0.02489111,5.765
1/11/2021 15:50,5612,12.98,NAN,NAN,5.754,78.71,1.1,84.6,0,27.87,0.02372254,5.787
1/11/2021 16:00,5613,12.87,NAN,NAN,5.633,78.93,0,42.31,0,17.87,0.01350574,5.787
1/11/2021 16:10,5614,12.83,NAN,NAN,5.462,80.7,1.1,78.98,0,9.44,0.005654214,5.809
1/11/2021 16:20,5615,12.76,NAN,NAN,5.38,81.1,0,78.43,0,2.552,0.00189672,5.809
1/11/2021 16:30,5616,12.66,NAN,NAN,5.238,81.8,1.55,94.8,0,-4.715,-0.001203875,5.809
1/11/2021 16:40,5617,12.65,NAN,NAN,5.18,82.6,1.25,92.6,0,-5.488,-0.002015755,5.809
1/11/2021 16:50,5618,12.62,NAN,NAN,5.138,82.8,0,90.3,0,-5.682,-0.002161485,5.809
1/11/2021 17:00,5619,12.59,NAN,NAN,5.007,83.6,0.95,99.2,0,-5.697,-0.00239136,5.787
1/11/2021 17:10,5620,12.59,NAN,NAN,4.937,83.9,0.8,103.3,0,-6.096,-0.00351854,5.787
1/11/2021 17:20,5621,12.58,NAN,NAN,4.795,84.5,1.55,102.7,0,-6.165,-0.003670215,5.787
1/11/2021 17:30,5622,12.55,NAN,NAN,4.744,84.7,0,77.2,0,-5.997,-0.003604945,5.765
1/11/2021 17:40,5623,12.57,NAN,NAN,4.654,85.3,0.8,59.61,0,-5.814,-0.00350004,5.765
1/11/2021 17:50,5624,12.56,NAN,NAN,4.633,86.1,0.8,70.3,0,-5.796,-0.00346201,5.765
1/11/2021 18:00,5625,12.55,NAN,NAN,4.583,86.6,0.65,28.81,0,-5.748,-0.003483775,5.743
1/11/2021 18:10,5626,12.56,NAN,NAN,4.562,87.1,0,91.7,0,-6.332,-0.003570895,5.743
