TOA5,DU_W1_Wired,CR300,10972,CR300-CELL210.Std.08.01,CPU:CR300_SRW3_RADIO.CR300,45746,SRW3_Sample,,
TIMESTAMP,RECORD,BattV,BP_kPa,Depth_10_1,Temp_10_1,EC_10_1,Depth_10_2,Temp_10_2,EC_10_2
TS,RN,Volts,kPa,mm,Deg C,uS/m,mm,Deg C,uS/m
,,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp
6/18/2021 19:00,1,12.66,98.65044,NAN,0,0,-38,15.8,264
6/18/2021 19:10,2,12.66,98.63776,NAN,0,0,-27,15.8,268
6/18/2021 19:20,3,12.66,98.64516,NAN,0,0,-17,15.8,266
6/18/2021 19:30,4,12.65,98.67285,NAN,0,0,-10,15.8,269
6/18/2021 19:40,5,12.65,98.6862,NAN,0,0,-4,15.8,268
6/18/2021 19:50,6,12.64,98.69792,NAN,0,0,1,15.8,265
6/18/2021 20:00,7,12.64,98.7159,NAN,0,0,5,15.8,268
6/18/2021 20:10,8,12.64,98.71425,NAN,0,0,10,15.8,262
6/18/2021 20:20,9,12.63,98.71723,NAN,0,0,14,15.8,267
6/18/2021 20:30,10,12.63,98.71471,NAN,0,0,19,15.8,266
6/18/2021 20:40,11,12.63,98.74218,NAN,0,0,24,15.8,266
6/18/2021 20:50,12,12.62,98.75585,NAN,0,0,27,15.8,267
6/18/2021 21:00,13,12.62,98.75067,NAN,0,0,30,15.8,266
6/18/2021 21:10,14,12.62,98.76247,NAN,0,0,32,15.8,266
6/18/2021 21:20,15,12.61,98.76388,NAN,0,0,33,15.8,267
6/18/2021 21:30,16,12.61,98.75911,NAN,0,0,34,15.8,263
6/18/2021 21:40,17,12.6,98.74785,NAN,0,0,36,15.8,265
6/18/2021 21:50,18,12.6,98.73972,NAN,0,0,36,15.8,265
6/18/2021 22:00,19,12.6,98.72115,NAN,0,0,37,15.9,264
6/18/2021 22:10,20,12.58,98.72891,NAN,0,0,40,15.9,263
6/18/2021 22:20,21,12.57,98.74865,NAN,0,0,44,15.8,261
6/18/2021 22:30,22,12.57,98.7322,NAN,0,0,46,15.8,264
6/18/2021 22:40,23,12.57,98.72577,NAN,0,0,47,15.8,264
6/18/2021 22:50,24,12.56,98.72039,NAN,0,0,49,15.9,260
6/18/2021 23:00,25,12.56,98.72301,NAN,0,0,49,15.8,263
6/18/2021 23:10,26,12.56,98.72656,NAN,0,0,48,15.9,263
6/18/2021 23:20,27,12.56,98.71694,NAN,0,0,48,15.9,263
6/18/2021 23:30,28,12.55,98.71758,NAN,0,0,47,15.9,259
6/18/2021 23:40,29,12.55,98.70324,NAN,0,0,46,15.9,259
6/18/2021 23:50,30,12.55,98.72784,NAN,0,0,44,15.9,263
6/19/2021 0:00,31,12.56,98.73895,NAN,0,0,42,15.9,263
6/19/2021 0:10,32,12.56,98.73708,NAN,0,0,41,15.9,261
6/19/2021 0:20,33,12.56,98.74136,NAN,0,0,41,15.9,259
6/19/2021 0:30,34,12.55,98.7386,NAN,0,0,39,15.9,257
6/19/2021 0:40,35,12.55,98.72489,NAN,0,0,36,15.9,262
6/19/2021 0:50,36,12.55,98.72754,NAN,0,0,35,15.9,267
6/19/2021 1:00,37,12.55,98.73557,NAN,0,0,34,15.9,262
6/19/2021 1:10,38,12.54,98.73903,NAN,0,0,31,15.9,261
6/19/2021 1:20,39,12.54,98.75732,NAN,0,0,30,15.9,258
6/19/2021 1:30,40,12.54,98.74465,NAN,0,0,29,15.9,260
6/19/2021 1:40,41,12.54,98.74841,NAN,0,0,27,15.9,264
6/19/2021 1:50,42,12.54,98.73631,NAN,0,0,25,15.9,261
6/19/2021 2:00,43,12.52,98.72582,NAN,0,0,24,15.9,262
6/19/2021 2:10,44,12.51,98.72478,NAN,0,0,23,15.9,263
6/19/2021 2:20,45,12.51,98.7254,NAN,0,0,22,15.9,262
6/19/2021 2:30,46,12.51,98.72879,NAN,0,0,20,15.9,263
6/19/2021 2:40,47,12.51,98.72517,NAN,0,0,18,15.9,264
6/19/2021 2:50,48,12.51,98.71366,NAN,0,0,17,15.9,265
6/19/2021 3:00,49,12.51,98.716,NAN,0,0,18,15.9,261
6/19/2021 3:10,50,12.51,98.72124,NAN,0,0,15,15.9,263
6/19/2021 3:20,51,12.51,98.70602,NAN,0,0,13,15.9,265
6/19/2021 3:30,52,12.53,98.71134,NAN,0,0,11,15.9,263
6/19/2021 3:40,53,12.53,98.7196,NAN,0,0,11,15.9,261
6/19/2021 3:50,54,12.52,98.70391,NAN,0,0,10,15.9,262
6/19/2021 4:00,55,12.52,98.69299,NAN,0,0,9,15.8,263
6/19/2021 4:10,56,12.52,98.6925,NAN,0,0,9,15.9,263
6/19/2021 4:20,57,12.52,98.68581,NAN,0,0,8,15.9,262
6/19/2021 4:30,58,12.51,98.68254,NAN,0,0,6,15.9,265
6/19/2021 4:40,59,12.51,98.69057,NAN,0,0,6,15.9,265
6/19/2021 4:50,60,12.51,98.67971,NAN,0,0,5,15.9,265
6/19/2021 5:00,61,12.49,98.66825,NAN,0,0,3,15.9,262
6/19/2021 5:10,62,12.5,98.65533,NAN,0,0,3,15.9,261
6/19/2021 5:20,63,12.49,98.65063,NAN,0,0,4,15.9,264
6/19/2021 5:30,64,12.49,98.64529,NAN,0,0,3,15.9,262
6/19/2021 5:40,65,12.49,98.64956,NAN,0,0,1,15.9,262
6/19/2021 5:50,66,12.49,98.67214,NAN,0,0,-1,15.9,261
6/19/2021 6:00,67,12.49,98.66965,NAN,0,0,-3,15.9,260
6/19/2021 6:10,68,12.49,98.66637,NAN,0,0,-4,15.9,260
6/19/2021 6:20,69,12.49,98.66784,NAN,0,0,-4,15.9,263
6/19/2021 6:30,70,12.51,98.68482,NAN,0,0,-5,15.9,264
6/19/2021 6:40,71,12.52,98.70203,NAN,0,0,-3,15.9,261
6/19/2021 6:50,72,12.52,98.69672,NAN,0,0,-6,15.9,261
6/19/2021 7:00,73,12.54,98.70377,NAN,0,0,-5,15.9,261
6/19/2021 7:10,74,12.53,98.68957,NAN,0,0,-5,15.9,263
6/19/2021 7:20,75,12.54,98.68427,NAN,0,0,-7,15.9,263
6/19/2021 7:30,76,12.56,98.69601,NAN,0,0,-8,15.9,264
6/19/2021 7:40,77,12.58,98.69238,NAN,0,0,-9,15.9,263
6/19/2021 7:50,78,12.65,98.683,NAN,0,0,-8,15.9,261
6/19/2021 8:00,79,12.68,98.69367,NAN,0,0,-10,15.9,263
6/19/2021 8:10,80,12.73,98.67645,NAN,0,0,-11,15.9,263
6/19/2021 8:20,81,12.74,98.67678,NAN,0,0,-11,15.9,261
6/19/2021 8:30,82,12.77,98.6768,NAN,0,0,-11,15.9,263
6/19/2021 8:40,83,12.79,98.68168,NAN,0,0,-12,15.9,262
6/19/2021 8:50,84,12.78,98.68862,NAN,0,0,-12,15.9,259
6/19/2021 9:00,85,12.8,98.68359,NAN,0,0,-13,15.9,264
6/19/2021 9:10,86,12.81,98.7027,NAN,0,0,-13,15.9,263
6/19/2021 9:20,87,12.82,98.72094,NAN,0,0,-14,15.9,264
6/19/2021 9:30,88,12.82,98.7142,NAN,0,0,-15,15.9,262
6/19/2021 9:40,89,12.82,98.72224,NAN,0,0,-15,15.9,263
6/19/2021 9:50,90,12.83,98.73846,NAN,0,0,-15,15.9,262
6/19/2021 10:00,91,12.84,98.74294,NAN,0,0,-15,15.9,263
6/19/2021 10:10,92,12.83,98.74908,NAN,0,0,-17,15.9,261
6/19/2021 10:20,93,12.84,98.74844,NAN,0,0,-18,15.9,262
6/19/2021 10:30,94,12.83,98.74139,NAN,0,0,-18,15.9,262
6/19/2021 10:40,95,12.83,98.72905,NAN,0,0,-19,15.9,260
6/19/2021 10:50,96,12.82,98.73143,NAN,0,0,-19,15.9,264
6/19/2021 11:00,97,12.84,98.71529,NAN,0,0,-19,15.9,262
6/19/2021 11:10,98,12.84,98.70216,NAN,0,0,-19,15.9,262
6/19/2021 11:20,99,12.85,98.70829,NAN,0,0,-21,15.9,261
6/19/2021 11:30,100,12.84,98.70011,NAN,0,0,-22,15.9,263
6/19/2021 11:40,101,12.84,98.69657,NAN,0,0,-24,15.9,264
6/19/2021 11:50,102,12.8,98.69637,NAN,0,0,-23,15.9,263
6/19/2021 12:00,103,12.82,98.7013,NAN,0,0,-23,15.9,257
6/19/2021 12:10,104,12.81,98.6943,NAN,0,0,-22,15.9,260
6/19/2021 12:20,105,12.82,98.70028,NAN,0,0,-22,15.9,262
6/19/2021 12:30,106,12.81,98.69856,NAN,0,0,-23,15.9,262
6/19/2021 12:40,107,12.81,98.68959,NAN,0,0,-23,15.9,261
6/19/2021 12:50,108,12.81,98.68484,NAN,0,0,-23,15.9,260
6/19/2021 13:00,109,12.8,98.66982,NAN,0,0,-24,15.9,262
6/19/2021 13:10,110,12.8,98.66727,NAN,0,0,-25,15.9,261
6/19/2021 13:20,111,12.79,98.65118,NAN,0,0,-26,15.9,262
6/19/2021 13:30,112,12.74,98.62431,NAN,0,0,-25,15.9,262
6/19/2021 13:40,113,12.8,98.59811,NAN,0,0,-25,15.9,262
6/19/2021 13:50,114,12.81,98.58675,NAN,0,0,-25,15.9,262
6/19/2021 14:00,115,12.82,98.55962,NAN,0,0,-25,15.9,263
6/19/2021 14:10,116,12.82,98.5574,NAN,0,0,-24,15.9,262
6/19/2021 14:20,117,12.82,98.5505,NAN,0,0,-24,15.9,262
6/19/2021 14:30,118,12.81,98.55326,NAN,0,0,-24,15.9,264
6/19/2021 14:40,119,12.81,98.56057,NAN,0,0,-23,15.9,262
6/19/2021 14:50,120,12.8,98.56042,NAN,0,0,-23,15.9,262
6/19/2021 15:00,121,12.79,98.54992,NAN,0,0,-22,15.9,260
6/19/2021 15:10,122,12.78,98.52528,NAN,0,0,-22,15.9,264
6/19/2021 15:20,123,12.78,98.52731,NAN,0,0,-22,15.9,260
6/19/2021 15:30,124,12.76,98.53039,NAN,0,0,-22,15.9,260
6/19/2021 15:40,125,12.74,98.54871,NAN,0,0,-22,15.9,261
6/19/2021 15:50,126,12.75,98.53818,NAN,0,0,-20,15.9,260
6/19/2021 16:00,127,12.74,98.54102,NAN,0,0,-19,15.9,265
6/19/2021 16:10,128,12.76,98.53198,NAN,0,0,-21,15.9,260
6/19/2021 16:20,129,12.76,98.53387,NAN,0,0,-21,15.9,264
6/19/2021 16:30,130,12.77,98.51913,NAN,0,0,-20,15.9,262
6/19/2021 16:40,131,12.77,98.52551,NAN,0,0,-20,15.9,261
6/19/2021 16:50,132,12.76,98.54258,NAN,0,0,-19,15.9,263
6/19/2021 17:00,133,12.75,98.54276,NAN,0,0,-20,15.9,262
6/19/2021 17:10,134,12.74,98.54184,NAN,0,0,-20,15.9,260
6/19/2021 17:20,135,12.73,98.54117,NAN,0,0,-20,15.9,262
6/19/2021 17:30,136,12.72,98.53947,NAN,0,0,-20,15.9,262
6/19/2021 17:40,137,12.71,98.539,NAN,0,0,-21,15.9,260
6/19/2021 17:50,138,12.71,98.54101,NAN,0,0,-20,15.9,261
6/19/2021 18:00,139,12.7,98.53513,NAN,0,0,-21,15.9,262
6/19/2021 18:10,140,12.7,98.54375,NAN,0,0,-21,15.9,260
6/19/2021 18:20,141,12.69,98.53349,NAN,0,0,-21,15.9,265
6/19/2021 18:30,142,12.67,98.53519,NAN,0,0,-22,15.9,261
6/19/2021 18:40,143,12.67,98.52203,NAN,0,0,-22,15.9,264
6/19/2021 18:50,144,12.67,98.52193,NAN,0,0,-22,15.9,259
6/19/2021 19:00,145,12.67,98.5125,NAN,0,0,-22,15.9,260
6/19/2021 19:10,146,12.66,98.49894,NAN,0,0,-22,15.9,262
6/19/2021 19:20,147,12.62,98.47319,NAN,0,0,-21,15.9,260
6/19/2021 19:30,148,12.64,98.46701,NAN,0,0,-22,15.9,259
6/19/2021 19:40,149,12.64,98.46986,NAN,0,0,-21,15.9,259
6/19/2021 19:50,150,12.63,98.48213,NAN,0,0,-21,15.9,260
6/19/2021 20:00,151,12.63,98.4789,NAN,0,0,-21,15.9,264
6/19/2021 20:10,152,12.63,98.44574,NAN,0,0,-21,15.9,261
6/19/2021 20:20,153,12.63,98.43945,NAN,0,0,-21,15.9,257
6/19/2021 20:30,154,12.62,98.48435,NAN,0,0,-20,15.9,258
6/19/2021 20:40,155,12.62,98.51048,NAN,0,0,-19,15.9,261
6/19/2021 20:50,156,12.62,98.55007,NAN,0,0,-19,15.9,258
6/19/2021 21:00,157,12.59,98.56391,NAN,0,0,-21,15.9,261
6/19/2021 21:10,158,12.62,98.55871,NAN,0,0,-20,15.9,261
6/19/2021 21:20,159,12.61,98.55109,NAN,0,0,-21,15.9,259
6/19/2021 21:30,160,12.62,98.5508,NAN,0,0,-22,15.9,262
6/19/2021 21:40,161,12.58,98.56339,NAN,0,0,-23,15.9,261
6/19/2021 21:50,162,12.6,98.59234,NAN,0,0,-22,15.9,261
6/19/2021 22:00,163,12.6,98.57826,NAN,0,0,-22,15.9,260
6/19/2021 22:10,164,12.6,98.57407,NAN,0,0,-23,15.9,259
6/19/2021 22:20,165,12.59,98.60649,NAN,0,0,-23,15.9,262
6/19/2021 22:30,166,12.6,98.60413,NAN,0,0,-21,15.9,262
6/19/2021 22:40,167,12.59,98.60963,NAN,0,0,-22,15.9,263
6/19/2021 22:50,168,12.6,98.62297,NAN,0,0,-23,15.9,263
6/19/2021 23:00,169,12.59,98.6157,NAN,0,0,-23,15.9,261
6/19/2021 23:10,170,12.59,98.62868,NAN,0,0,-22,15.9,260
6/19/2021 23:20,171,12.59,98.62139,NAN,0,0,-23,15.9,258
6/19/2021 23:30,172,12.56,98.6198,NAN,0,0,-23,15.9,262
6/19/2021 23:40,173,12.58,98.61008,NAN,0,0,-23,15.9,261
6/19/2021 23:50,174,12.58,98.58634,NAN,0,0,-24,15.9,261
6/20/2021 0:00,175,12.57,98.58695,NAN,0,0,-24,15.9,264
6/20/2021 0:10,176,12.58,98.5779,NAN,0,0,-25,15.9,263
6/20/2021 0:20,177,12.57,98.5889,NAN,0,0,-25,15.9,260
6/20/2021 0:30,178,12.57,98.58865,NAN,0,0,-25,15.9,263
6/20/2021 0:40,179,12.53,98.57839,NAN,0,0,-26,15.9,262
6/20/2021 0:50,180,12.56,98.57385,NAN,0,0,-25,15.9,260
6/20/2021 1:00,181,12.56,98.56915,NAN,0,0,-25,15.9,260
6/20/2021 1:10,182,12.56,98.57988,NAN,0,0,-28,15.9,261
6/20/2021 1:20,183,12.55,98.58559,NAN,0,0,-27,15.9,260
6/20/2021 1:30,184,12.56,98.60975,NAN,0,0,-27,15.9,264
6/20/2021 1:40,185,12.55,98.62438,NAN,0,0,-25,15.9,259
6/20/2021 1:50,186,12.55,98.63781,NAN,0,0,-26,15.9,263
6/20/2021 2:00,187,12.55,98.64021,NAN,0,0,-26,15.9,265
6/20/2021 2:10,188,12.55,98.63555,NAN,0,0,-27,15.9,263
6/20/2021 2:20,189,12.53,98.62542,NAN,0,0,-28,15.9,264
6/20/2021 2:30,190,12.54,98.60476,NAN,0,0,-28,15.9,264
6/20/2021 2:40,191,12.54,98.57988,NAN,0,0,-29,15.9,261
6/20/2021 2:50,192,12.54,98.55509,NAN,0,0,-30,15.9,258
6/20/2021 3:00,193,12.54,98.52453,NAN,0,0,-39,15.9,259
6/20/2021 3:10,194,12.54,98.51491,NAN,0,0,-39,15.9,262
6/20/2021 3:20,195,12.54,98.49169,NAN,0,0,-37,15.9,260
6/20/2021 3:30,196,12.54,98.48873,NAN,0,0,-37,15.9,263
6/20/2021 3:40,197,12.54,98.47009,NAN,0,0,-36,15.9,262
6/20/2021 3:50,198,12.53,98.47642,NAN,0,0,-36,15.9,259
6/20/2021 4:00,199,12.53,98.48409,NAN,0,0,-36,15.9,262
6/20/2021 4:10,200,12.53,98.48621,NAN,0,0,-35,15.9,261
6/20/2021 4:20,201,12.53,98.46057,NAN,0,0,-36,15.9,261
6/20/2021 4:30,202,12.51,98.44936,NAN,0,0,-34,15.9,261
6/20/2021 4:40,203,12.53,98.46535,NAN,0,0,-35,15.9,263
6/20/2021 4:50,204,12.53,98.46539,NAN,0,0,-35,15.9,260
6/20/2021 5:00,205,12.53,98.46373,NAN,0,0,-35,15.9,262
6/20/2021 5:10,206,12.52,98.46032,NAN,0,0,-34,15.9,263
6/20/2021 5:20,207,12.52,98.43983,NAN,0,0,-33,15.9,261
6/20/2021 5:30,208,12.52,98.41287,NAN,0,0,-32,15.9,265
6/20/2021 5:40,209,12.5,98.34371,NAN,0,0,-33,15.9,263
6/20/2021 5:50,210,12.52,98.34931,NAN,0,0,-32,15.9,259
6/20/2021 6:00,211,12.52,98.35337,NAN,0,0,-33,15.9,262
6/20/2021 6:10,212,12.52,98.32603,NAN,0,0,-32,15.9,264
6/20/2021 6:20,213,12.5,98.31321,NAN,0,0,-31,15.9,259
6/20/2021 6:30,214,12.51,98.29762,NAN,0,0,-32,15.9,263
6/20/2021 6:40,215,12.52,98.30636,NAN,0,0,-33,15.9,262
6/20/2021 6:50,216,12.52,98.30227,NAN,0,0,-32,15.9,264
6/20/2021 7:00,217,12.5,98.31936,NAN,0,0,-31,15.9,261
6/20/2021 7:10,218,12.52,98.3422,NAN,0,0,-30,15.9,263
