"TOA5","SR_W2M2_Wired","CR300","10973","CR300-CELL210.Std.10.03","CPU:CR300_SRW2M2_CELL.CR300","24630","SRW2M2_Average"
"TIMESTAMP","RECORD","BattV_Min","AirTemp_Avg","AirTemp_Max","AirTemp_Min","RH_Max","RH_Min","SoilT_Avg","SoilT_Max","SoilT_Min","WindSpd_Avg","WindSpd_Max","WindSpd_Std","SlrW_Avg","SlrW_Max","SlrW_Min","DewPtC_Avg","DewPtC_Max","DewPtC_Min"
"TS","RN","Volts","Deg C","Deg C","Deg C","%","%","Deg C","Deg C","Deg C","meters/second","meters/second","meters/second","W/m^2","W/m^2","W/m^2","Deg C","Deg C","Deg C"
"","","Min","Avg","Max","Min","Max","Min","Avg","Max","Min","Avg","Max","Std","Avg","Max","Min","Avg","Max","Min"
"2020-12-18 10:40:00",5484,11.6,4.6,4.714,4.532,66.53,58.67,7.116,7.128,7.105,0.933,2.15,0.589,191.2,275.7,35.23,-1.829,-1.087,-2.821
"2020-12-18 10:50:00",5485,11.6,4.85,5.028,4.573,68.86,58.19,7.127,7.143,7.116,0.74,3.2,0.748,107.3,230.5,49.13,-1.663,-0.443,-2.655
"2020-12-18 11:00:00",5486,11.61,4.892,5.028,4.754,68.04,57.74,7.141,7.153,7.127,0.655,2.75,0.614,112.3,314.8,60.02,-1.539,-0.406,-2.845
"2020-12-18 11:10:00",5487,11.72,5.042,5.25,4.814,68.85,59.06,7.158,7.172,7.142,0.386,1.25,0.432,92.9,337.7,51.02,-1.576,-0.378,-2.474
"2020-12-18 11:20:00",5488,11.72,5.031,5.219,4.896,64.6,55.94,7.174,7.188,7.159,0.829,2.45,0.724,55.27,101.8,50.9,-2.129,-1.126,-3.073
"2020-12-18 11:30:00",5489,11.63,4.898,5.057,4.795,65.91,56.04,7.193,7.208,7.179,0.828,2.6,0.851,229.4,338,108.5,-2.138,-0.783,-3.134
"2020-12-18 11:40:00",5490,11.61,5.612,5.866,5.078,66.39,54.8,7.209,7.227,7.194,0.29,1.55,0.433,152.6,292.7,55.98,-1.549,-0.432,-2.764
"2020-12-18 11:50:00",5491,11.61,5.524,5.604,5.421,62.93,53.83,7.226,7.239,7.213,0.727,2.15,0.655,107.9,308.3,50.99,-2.164,-0.915,-3.146
"2020-12-18 12:00:00",5492,11.59,5.544,5.664,5.371,64.9,54.19,7.241,7.259,7.227,0.572,1.55,0.491,79.78,159.4,50.28,-2.091,-0.469,-3.019
"2020-12-18 12:10:00",5493,11.59,5.255,5.482,5.159,60.39,53.99,7.258,7.271,7.24,0.707,2.6,0.806,78.11,180.9,50.24,-2.445,-1.83,-3.181
"2020-12-18 12:20:00",5494,11.59,5.639,5.886,5.442,62.7,53.57,7.272,7.285,7.261,0.941,2.45,0.698,258.6,487.8,71.83,-2.037,-0.965,-3.149
"2020-12-18 12:30:00",5495,11.74,5.802,6.028,5.624,60.99,51.7,7.285,7.3,7.269,0.644,1.85,0.483,150.1,247.5,47.92,-2.193,-1.266,-3.444
"2020-12-18 12:40:00",5496,11.64,5.686,5.795,5.572,59.62,51.9,7.296,7.31,7.283,1.094,3.5,0.957,59.3,106.7,49.15,-2.37,-1.501,-3.409
"2020-12-18 12:50:00",5497,11.64,5.781,5.996,5.674,63.66,52.68,7.306,7.319,7.293,0.987,3.05,0.852,101.8,178.8,47.52,-2.082,-0.567,-3.191
"2020-12-18 13:00:00",5498,11.61,5.838,5.966,5.724,59.72,53.75,7.316,7.327,7.306,1.236,2.6,0.69,127.1,210.4,71.66,-2.143,-1.382,-2.759
"2020-12-18 13:10:00",5499,11.65,5.908,6.067,5.684,62.46,50.61,7.322,7.338,7.31,0.921,2.9,0.71,200.2,371.2,105.2,-2.496,-0.616,-3.569
"2020-12-18 13:20:00",5500,11.78,6.099,6.329,5.684,60.99,52.16,7.326,7.337,7.317,0.845,2.15,0.642,220.8,359.3,57.68,-1.952,-0.972,-3.154
"2020-12-18 13:30:00",5501,11.85,6.255,6.633,6.028,58.5,51.08,7.331,7.343,7.321,1.185,3.35,0.798,54.56,56.28,50.88,-2.134,-1.125,-3.231
"2020-12-18 13:40:00",5502,11.73,6.79,6.976,6.652,57.1,48.64,7.337,7.35,7.323,0.829,2.6,0.707,56.58,63.43,54.82,-2.268,-1.101,-3.138
"2020-12-18 13:50:00",5503,11.72,7.132,7.258,6.976,56.26,50.07,7.349,7.364,7.336,0.645,1.55,0.434,135,208,59.34,-1.616,-0.888,-2.527
"2020-12-18 14:00:00",5504,11.73,7.339,7.47,7.238,55.14,47.49,7.369,7.389,7.35,0.287,0.95,0.361,164.4,205,120.4,-1.93,-1.125,-3.062
"2020-12-18 14:10:00",5505,11.68,7.388,7.642,7.178,53.86,47.58,7.393,7.407,7.375,0.448,3.2,0.62,191.4,253.9,98.8,-2.105,-1.316,-2.955
"2020-12-18 14:20:00",5506,11.59,7.125,7.39,6.976,58.45,48.77,7.418,7.437,7.399,1.457,3.95,0.867,187.7,251.4,86.7,-1.878,-0.459,-3.067
"2020-12-18 14:30:00",5507,11.66,6.807,6.976,6.673,55.23,49.07,7.443,7.462,7.428,0.505,1.55,0.488,103.3,224.6,44.47,-2.331,-1.545,-3.118
"2020-12-18 14:40:00",5508,11.65,6.675,6.753,6.633,55.05,50.12,7.468,7.487,7.451,0.333,1.4,0.45,107.9,170.4,40.76,-2.338,-1.704,-3
"2020-12-18 14:50:00",5509,11.7,6.724,6.814,6.633,54.41,48.55,7.489,7.507,7.475,0.65,2.6,0.684,122.4,157.3,92.5,-2.58,-1.758,-3.394
"2020-12-18 15:00:00",5510,11.71,6.65,6.733,6.481,55.33,49.67,7.511,7.526,7.49,0.854,2.3,0.605,101.3,156.5,65.72,-2.264,-1.729,-3.062
"2020-12-18 15:10:00",5511,11.7,6.393,6.491,6.329,55.84,50.8,7.531,7.55,7.517,0.902,2.15,0.591,125.3,183.3,75.06,-2.559,-1.707,-3.089
"2020-12-18 15:20:00",5512,11.76,6.482,6.532,6.39,58.71,49.62,7.546,7.56,7.531,0.3,2,0.512,96.1,140.8,47.66,-2.22,-1.042,-3.264
"2020-12-18 15:30:00",5513,11.65,6.375,6.4,6.35,58.23,51.58,7.559,7.572,7.547,0.178,1.1,0.315,48.56,72.53,30.39,-1.966,-1.222,-2.875
"2020-12-18 15:40:00",5514,11.63,6.282,6.4,6.168,57.97,50.99,7.567,7.58,7.557,0.823,2,0.617,51.48,80.3,28.71,-2.32,-1.273,-3.179
"2020-12-18 15:50:00",5515,11.64,6.19,6.248,6.118,55.16,49.91,7.574,7.584,7.56,0.48,2.6,0.655,32.69,53.78,22.07,-2.868,-2.102,-3.466
"2020-12-18 16:00:00",5516,11.61,6.119,6.148,6.088,55.96,51.54,7.578,7.587,7.569,1.133,2.15,0.617,24.46,33.26,18.26,-2.614,-1.999,-3.109
"2020-12-18 16:10:00",5517,11.61,5.93,6.108,5.795,57.08,53.05,7.581,7.591,7.569,0.307,1.55,0.445,19.28,21.32,17.76,-2.38,-1.921,-2.983
"2020-12-18 16:20:00",5518,11.6,5.808,5.866,5.764,56,52.33,7.581,7.595,7.571,0.635,1.25,0.413,20.18,21.38,18.45,-2.74,-2.301,-3.204
"2020-12-18 16:30:00",5519,11.59,5.655,5.805,5.512,60.05,53.31,7.578,7.588,7.568,0.349,1.7,0.573,15.22,18.38,13.75,-2.248,-1.574,-3.004
"2020-12-18 16:40:00",5520,11.59,5.443,5.532,5.34,60.81,55.46,7.574,7.584,7.56,0.202,1.4,0.376,11.89,13.88,10.09,-2.301,-1.537,-2.707
"2020-12-18 16:50:00",5521,11.58,5.18,5.39,4.937,62.66,54.64,7.567,7.576,7.557,0.154,0.95,0.291,9.98,10.86,8.11,-2.256,-1.551,-3.049
"2020-12-18 17:00:00",5522,11.54,4.594,4.947,4.24,68.14,58.85,7.561,7.573,7.548,0.063,0.8,0.187,5.433,8.29,2.935,-1.698,-0.985,-2.438
"2020-12-18 17:10:00",5523,11.55,4.043,4.25,3.866,69.85,63.69,7.552,7.565,7.542,0.088,0.95,0.228,1.958,2.899,0.878,-1.58,-0.96,-2.22
"2020-12-18 17:20:00",5524,11.55,3.572,4.088,3.36,74.76,66.07,7.543,7.555,7.53,0.008,0.65,0.067,0.464,1.099,-0.52,-1.187,-0.664,-1.919
"2020-12-18 17:30:00",5525,11.54,3.176,3.422,2.896,77.57,68.56,7.534,7.546,7.521,0,0,0,-0.931,0.062,-1.578,-1.055,-0.436,-1.869
"2020-12-18 17:40:00",5526,11.54,2.615,2.896,2.39,81.2,75.39,7.522,7.538,7.511,0,0,0,-1.774,-1.587,-1.948,-0.655,-0.258,-1.122
"2020-12-18 17:50:00",5527,11.54,2.302,2.643,1.662,83.3,78.23,7.51,7.523,7.495,0,0,0,-1.888,-1.611,-2.169,-0.742,-0.263,-0.952
"2020-12-18 18:00:00",5528,11.54,1.215,1.672,0.985,88.6,83.3,7.497,7.511,7.485,0,0,0,-1.957,-1.436,-2.444,-0.827,-0.651,-1.075
"2020-12-18 18:10:00",5529,11.53,1.067,1.186,0.954,89,85.8,7.483,7.498,7.465,0,0,0,-1.926,-1.374,-2.332,-0.781,-0.431,-1.095
"2020-12-18 18:20:00",5530,11.53,1.141,1.328,0.832,89.1,85.6,7.467,7.48,7.448,0,0,0,-1.736,-1.229,-2.181,-0.676,-0.433,-1.009
"2020-12-18 18:30:00",5531,11.52,0.527,0.813,0.428,91.9,87.5,7.449,7.465,7.431,0,0,0,-1.962,-1.67,-2.311,-0.858,-0.654,-1.047
"2020-12-18 18:40:00",5532,11.52,0.426,0.55,0.165,93,90.9,7.431,7.448,7.416,0.006,0.35,0.045,-1.658,-1.365,-1.995,-0.754,-0.454,-1.111
