"TOA5","SR_W2M2_Wired","CR300","10973","CR300-CELL210.Std.10.03","CPU:CR300_SRW2M2_CELL.CR300","24630","SRW2M2_Sample"
"TIMESTAMP","RECORD","BattV","AirTemp","RH","SoilT","WindSpd","WindSpd_Max","WindDir","Rain_in_Tot","SlrW","SlrMJ_Tot"
"TS","RN","Volts","Deg C","%","Deg C","meters/second","meters/second","degrees","inch","W/m^2","MJ/m^2"
"","","Smp","Smp","Smp","Smp","Smp","Max","Smp","Tot","Smp","Tot"
"2020-12-18 10:40:00",5484,11.67,4.654,60.07,7.123,1.25,2.15,102.6,0,238.5,0.1147481
"2020-12-18 10:50:00",5485,11.66,4.906,61.29,7.135,0.35,3.2,42.81,0,103.6,0.06439531
"2020-12-18 11:00:00",5486,11.8,4.805,63.46,7.151,0.65,2.75,58.88,0,314.8,0.06736928
"2020-12-18 11:10:00",5487,11.73,5.219,61.12,7.171,0.65,1.25,66.37,0,51.02,0.0557216
"2020-12-18 11:20:00",5488,11.74,4.976,59.96,7.183,0.8,2.45,63.25,0,101.8,0.03316268
"2020-12-18 11:30:00",5489,11.67,5.057,65.91,7.206,0,2.6,351.6,0,251.6,0.1376274
"2020-12-18 11:40:00",5490,11.67,5.592,55.12,7.218,0,1.55,106.5,0,55.98,0.09158935
"2020-12-18 11:50:00",5491,11.63,5.604,57.56,7.239,0,2.15,45.59,0,52.69,0.06475333
"2020-12-18 12:00:00",5492,11.65,5.371,57.99,7.239,0.5,1.55,82.8,0,50.36,0.04786973
"2020-12-18 12:10:00",5493,11.65,5.482,57.71,7.261,0,2.6,47.68,0,90.5,0.04686693
"2020-12-18 12:20:00",5494,11.77,5.633,58.38,7.275,0.95,2.45,105.6,0,199.8,0.1551442
"2020-12-18 12:30:00",5495,11.75,5.724,51.7,7.3,0.95,1.85,150.8,0,76.97,0.09008832
"2020-12-18 12:40:00",5496,11.7,5.684,57.1,7.31,0.65,3.5,105.9,0,49.8,0.03558119
"2020-12-18 12:50:00",5497,11.68,5.976,54.26,7.316,2.15,3.05,106.6,0,100.9,0.06106709
"2020-12-18 13:00:00",5498,11.71,5.896,54.99,7.325,2,2.6,117.7,0,120.3,0.07628328
"2020-12-18 13:10:00",5499,11.76,5.684,53.24,7.324,0,2.9,257.7,0,367.5,0.120105
"2020-12-18 13:20:00",5500,11.89,6.31,55.91,7.322,1.4,2.15,71.04,0,57.68,0.1324871
"2020-12-18 13:30:00",5501,11.94,6.633,55.07,7.331,1.1,3.35,53.94,0,55.94,0.03273596
"2020-12-18 13:40:00",5502,11.78,6.966,52.11,7.341,1.25,2.6,73.75,0,63.22,0.03394571
"2020-12-18 13:50:00",5503,11.81,7.258,54.57,7.364,1.1,1.55,37.81,0,203.9,0.08102744
"2020-12-18 14:00:00",5504,11.75,7.299,50.36,7.389,0.65,0.95,42.53,0,198.5,0.09861901
"2020-12-18 14:10:00",5505,11.72,7.4,49.28,7.404,0.95,3.2,125.9,0,98.8,0.1148141
"2020-12-18 14:20:00",5506,11.77,6.976,48.77,7.432,0,3.95,146.7,0,225.4,0.1126402
"2020-12-18 14:30:00",5507,11.7,6.683,52.49,7.452,1.1,1.55,64.57,0,44.47,0.06197863
"2020-12-18 14:40:00",5508,11.74,6.753,53.37,7.48,0,1.4,47.91,0,95.5,0.06474072
"2020-12-18 14:50:00",5509,11.82,6.642,53.23,7.497,0,2.6,70.78,0,131.5,0.07342988
"2020-12-18 15:00:00",5510,11.78,6.481,53.86,7.515,0.95,2.3,77.79,0,99.1,0.06077478
"2020-12-18 15:10:00",5511,11.81,6.471,55.84,7.539,1.85,2.15,111.8,0,140.9,0.07520095
"2020-12-18 15:20:00",5512,11.82,6.39,56.33,7.553,0,2,43.47,0,63.16,0.05767325
"2020-12-18 15:30:00",5513,11.71,6.37,53.49,7.564,0,1.1,124,0,39.42,0.02913312
"2020-12-18 15:40:00",5514,11.71,6.189,52.69,7.565,1.7,2,167.8,0,50.04,0.03088744
"2020-12-18 15:50:00",5515,11.68,6.128,52.23,7.58,0,2.6,122.1,0,23.38,0.01961205
"2020-12-18 16:00:00",5516,11.66,6.128,55.96,7.583,0.8,2.15,72.06,0,18.4,0.01467461
"2020-12-18 16:10:00",5517,11.65,5.795,54.44,7.575,0.8,1.55,111.2,0,19.63,0.01157003
"2020-12-18 16:20:00",5518,11.64,5.785,53.31,7.577,0.5,1.25,119.9,0,18.45,0.01210999
"2020-12-18 16:30:00",5519,11.63,5.512,56.22,7.578,0,1.7,54.49,0,13.75,0.009130618
"2020-12-18 16:40:00",5520,11.62,5.34,56.4,7.565,0,1.4,99,0,10.09,0.007132135
"2020-12-18 16:50:00",5521,11.62,4.956,60.3,7.575,0,0.95,117.2,0,8.15,0.005987535
"2020-12-18 17:00:00",5522,11.6,4.25,65.34,7.558,0,0.8,140.3,0,2.935,0.003259595
"2020-12-18 17:10:00",5523,11.6,4.088,66.35,7.546,0,0.95,140,0,1.043,0.001174505
"2020-12-18 17:20:00",5524,11.59,3.36,74.4,7.543,0,0.65,134.8,0,-0.52,0.000278315
